gnome-text-editor	46.3-0ubuntu2	amd64
gnome-themes-extra-data	3.28-2ubuntu5	all
gnome-themes-extra:amd64	3.28-2ubuntu5	amd64
gnome-tweaks	46.0-2	all
gnome-user-docs	46.0-1ubuntu1	all
gnupg	2.4.4-2ubuntu17.4	all
gnupg-l10n	2.4.4-2ubuntu17.4	all
gnupg-utils	2.4.4-2ubuntu17.4	amd64
google-chrome-stable	148.0.7778.167-1	amd64
gpg	2.4.4-2ubuntu17.4	amd64
gpg-agent	2.4.4-2ubuntu17.4	amd64
gpg-wks-client	2.4.4-2ubuntu17.4	amd64
gpgconf	2.4.4-2ubuntu17.4	amd64
gpgsm	2.4.4-2ubuntu17.4	amd64
gpgv	2.4.4-2ubuntu17.4	amd64
grep	3.11-4build1	amd64
groff-base	1.23.0-3build2	amd64
grub-common	2.12-1ubuntu7.3	amd64
grub-efi-amd64	2.12-1ubuntu7.3	amd64
grub-efi-amd64-bin	2.12-1ubuntu7.3	amd64
grub-efi-amd64-signed	1.202.5+2.12-1ubuntu7.3	amd64
grub2-common	2.12-1ubuntu7.3	amd64
gsettings-desktop-schemas	46.1-0ubuntu1	all
gsettings-ubuntu-schemas	0.0.7+21.10.20210712-0ubuntu3	all
gstreamer1.0-alsa:amd64	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-gl:amd64	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-libav:amd64	1.24.1-1build1	amd64
gstreamer1.0-libcamera:amd64	0.2.0-3fakesync1build6	amd64
gstreamer1.0-packagekit	1.2.8-2ubuntu1.5	amd64
gstreamer1.0-pipewire:amd64	1.0.5-1ubuntu3.2	amd64
gstreamer1.0-plugins-base-apps	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-plugins-base:amd64	1.24.2-1ubuntu0.4	amd64
gstreamer1.0-plugins-good:amd64	1.24.2-1ubuntu1.4	amd64
gstreamer1.0-plugins-ugly:amd64	1.24.1-1build1	amd64
gstreamer1.0-tools	1.24.2-1ubuntu0.1	amd64
gstreamer1.0-vaapi:amd64	1.24.2-1	amd64
gstreamer1.0-x:amd64	1.24.2-1ubuntu0.4	amd64
gtk-update-icon-cache	3.24.41-4ubuntu1.3	amd64
gtk2-engines-murrine:amd64	0.98.2-4	amd64
gtk2-engines-pixbuf:amd64	2.24.33-4ubuntu1.1	amd64
gvfs-backends	1.54.4-0ubuntu1~24.04.2	amd64
gvfs-common	1.54.4-0ubuntu1~24.04.2	all
gvfs-daemons	1.54.4-0ubuntu1~24.04.2	amd64
gvfs-fuse	1.54.4-0ubuntu1~24.04.2	amd64
gvfs-libs:amd64	1.54.4-0ubuntu1~24.04.2	amd64
gvfs:amd64	1.54.4-0ubuntu1~24.04.2	amd64
gyp	0.1+20220404git9ecf45e-2	all
gzip	1.12-1ubuntu3.1	amd64
handlebars	3:4.7.7+~4.1.0-1	all
hdparm	9.65+ds-1build1	amd64
heif-gdk-pixbuf:amd64	1.17.6-1ubuntu4.2	amd64
heif-thumbnailer	1.17.6-1ubuntu4.2	amd64
hicolor-icon-theme	0.17-2	all
hostname	3.23+nmu2ubuntu2	amd64
hplip	3.23.12+dfsg0-0ubuntu5	amd64
hplip-data	3.23.12+dfsg0-0ubuntu5	all
htop	3.3.0-4build1	amd64
humanity-icon-theme	0.6.16	all
hunspell-en-us	1:2020.12.07-2	all
hwdata	0.379-1	all
